profit,poids,Nombre génération,Nombre population,Nombre meilleur solution sélectionnée,Probabilité crossover,Probabilité mutation,Items sélectionnés,Type population initiale
925,939,"2,75,77,13,90,92",300,150,45,0.5,0.3,LOW,5.421499490737915
970,970,"11,12",300,140,42,0.5,0.3,HIGH,5.541178941726685
970,970,4,300,140,42,0.5,0.3,MEDIUM,5.2090675830841064
970,970,"75,77,85,55",300,140,42,0.5,0.3,LOW,5.613985300064087
970,970,"85,13,32",300,130,39,0.5,0.3,HIGH,5.6578686237335205
970,970,"2,28,77,22",300,130,39,0.5,0.3,MEDIUM,5.624956130981445
970,970,"46,82,55",300,130,39,0.5,0.3,LOW,5.543174505233765
970,970,"73,75,92",300,120,36,0.5,0.3,HIGH,5.300822496414185
970,970,"82,52,12,77",300,120,36,0.5,0.3,MEDIUM,5.6299426555633545
970,970,"74,75,77",300,120,36,0.5,0.3,LOW,5.657869100570679
925,939,"92,45,39,77",300,110,33,0.5,0.3,HIGH,5.452418088912964
970,970,"3,53,22",300,110,33,0.5,0.3,MEDIUM,5.564119338989258
970,970,"2,77,53,92,32",300,110,33,0.5,0.3,LOW,5.436461687088013
970,970,"13,63",300,100,30,0.5,0.3,MEDIUM,5.451420307159424
970,970,"2,21",300,100,30,0.5,0.3,HIGH,5.760593414306641
970,970,"19,45",300,100,30,0.5,0.3,LOW,5.481340408325195
970,970,4,300,90,27,0.5,0.3,HIGH,5.923159122467041
925,939,"35,95",300,90,27,0.5,0.3,MEDIUM,5.589052438735962
970,970,"2,21",300,90,27,0.5,0.3,LOW,5.757601261138916
925,939,"2,90,12",300,80,24,0.5,0.3,HIGH,5.802481651306152
925,939,"90,3,92",300,80,24,0.5,0.3,MEDIUM,5.8264172077178955
970,970,"83,92",300,80,24,0.5,0.3,LOW,5.73466420173645
970,970,"4,82",300,70,21,0.5,0.3,HIGH,5.858334302902222
970,970,"54,22",300,70,21,0.5,0.3,MEDIUM,5.970032691955566
970,970,"2,92,76",300,70,21,0.5,0.3,LOW,5.691778182983398
970,970,"2,21",300,60,18,0.5,0.3,HIGH,6.027878761291504
970,970,"19,63",300,60,18,0.5,0.3,MEDIUM,6.0907111167907715
887,943,"72,75,13,53,22,90",300,60,18,0.5,0.3,LOW,6.086721181869507
970,970,"92,53,79",300,50,15,0.5,0.3,HIGH,6.190445184707642
970,970,"82,75,77,61",300,50,15,0.5,0.3,MEDIUM,6.350014925003052
925,939,"2,39,11,77",300,50,15,0.5,0.3,LOW,6.752939462661743
970,970,"2,75,12,13",300,40,12,0.5,0.3,HIGH,6.781862258911133
970,970,"2,68",300,40,12,0.5,0.3,MEDIUM,6.9075257778167725
970,970,"12,45,22",300,40,12,0.5,0.3,LOW,6.77886962890625
925,939,"1,2,35,53",300,30,9,0.5,0.3,HIGH,6.764907598495483
925,939,"35,76,85",300,30,9,0.5,0.3,MEDIUM,6.700080871582031
970,970,95,300,30,9,0.5,0.3,LOW,6.789841413497925
925,939,"75,12,52,22,90",300,20,6,0.5,0.3,HIGH,6.5375165939331055
970,970,"2,75,53,92,32",300,20,6,0.5,0.3,MEDIUM,6.649216413497925
970,970,"2,4,13",300,20,6,0.5,0.3,LOW,6.319100618362427
970,970,"44,55",300,10,3,0.5,0.3,HIGH,6.198422431945801
970,970,"2,60,52",300,10,3,0.5,0.3,MEDIUM,6.583393335342407
970,970,"2,21",290,150,45,0.5,0.3,HIGH,5.142246723175049
925,939,"1,75,52,90",300,10,3,0.5,0.3,LOW,6.667168855667114
970,970,"4,75,13,53",290,150,45,0.5,0.3,MEDIUM,5.097366094589233
970,970,"2,92,60",290,150,45,0.5,0.3,LOW,4.918844938278198
970,970,"2,75,13,52,22",290,140,42,0.5,0.3,HIGH,5.3546788692474365
887,943,"11,77,50,84,90",290,140,42,0.5,0.3,MEDIUM,5.235996723175049
970,970,"2,85,48",290,140,42,0.5,0.3,LOW,5.2359960079193115
970,970,"2,3,77",290,130,39,0.5,0.3,HIGH,5.354678153991699
970,970,"2,11,22",290,130,39,0.5,0.3,MEDIUM,5.4354634284973145
970,970,"22,4,46",290,130,39,0.5,0.3,LOW,5.189121961593628
970,970,"74,92,77",290,120,36,0.5,0.3,HIGH,4.988657712936401
970,970,"2,13,61",290,120,36,0.5,0.3,MEDIUM,5.477351188659668
970,970,"2,68,52",290,120,36,0.5,0.3,LOW,4.749297857284546
970,970,28,290,110,33,0.5,0.3,HIGH,4.950759172439575
970,970,"2,11,77,75",290,110,33,0.5,0.3,MEDIUM,5.042513608932495
925,939,"35,76,13",290,110,33,0.5,0.3,LOW,5.090387344360352
970,970,"11,55",290,100,30,0.5,0.3,MEDIUM,4.770242214202881
970,970,4,290,100,30,0.5,0.3,HIGH,5.177180767059326
970,970,"73,2,75",290,90,27,0.5,0.3,HIGH,4.720879554748535
970,970,"73,2,53",290,100,30,0.5,0.3,LOW,5.159745454788208
970,970,"2,13,77,45",290,90,27,0.5,0.3,MEDIUM,4.987207412719727
925,939,"35,75,77,52,53,92",290,90,27,0.5,0.3,LOW,5.003556489944458
970,970,"75,12,13,52",290,80,24,0.5,0.3,HIGH,5.1172943115234375
970,970,"2,12",290,80,24,0.5,0.3,MEDIUM,5.136921405792236
970,970,"3,92,53",290,80,24,0.5,0.3,LOW,5.2915403842926025
970,970,"1,32",290,70,21,0.5,0.3,HIGH,5.098621368408203
970,970,"2,92,31",290,70,21,0.5,0.3,MEDIUM,5.215269565582275
925,939,"82,35,76",290,70,21,0.5,0.3,LOW,5.22324800491333
925,939,"1,35,85",290,60,18,0.5,0.3,HIGH,5.524733781814575
970,970,"21,22",290,60,18,0.5,0.3,MEDIUM,5.467010736465454
970,970,"11,52,22",290,60,18,0.5,0.3,LOW,5.240935564041138
925,939,"39,46,53,28",290,50,15,0.5,0.3,HIGH,5.255850076675415
925,939,"52,3,84",290,50,15,0.5,0.3,MEDIUM,5.2697577476501465
970,970,"2,3,75",290,50,15,0.5,0.3,LOW,5.42434287071228
970,970,"4,75,12",290,40,12,0.5,0.3,HIGH,5.201937675476074
970,970,"75,12,53,22",290,40,12,0.5,0.3,MEDIUM,5.417427062988281
970,970,"3,13",290,40,12,0.5,0.3,LOW,5.731670141220093
970,970,"82,53,44",290,30,9,0.5,0.3,HIGH,5.514251708984375
925,939,"11,13,39",290,30,9,0.5,0.3,MEDIUM,5.326740980148315
970,970,"75,77,46,52,53",290,30,9,0.5,0.3,LOW,5.279879093170166
970,970,"3,13",290,20,6,0.5,0.3,HIGH,5.550156354904175
970,970,"60,13,77",290,20,6,0.5,0.3,MEDIUM,5.4933083057403564
970,970,"13,79",290,20,6,0.5,0.3,LOW,5.344706058502197
887,943,"85,22,87,90,92",290,10,3,0.5,0.3,HIGH,5.634929418563843
970,970,"92,76,22",280,150,45,0.5,0.3,HIGH,4.582743167877197
887,943,"39,77,48,53,90,58",290,10,3,0.5,0.3,MEDIUM,6.045830965042114
887,943,"65,12,84,92",290,10,3,0.5,0.3,LOW,6.017906665802002
887,943,"39,75,77,46,84,59",280,150,45,0.5,0.3,MEDIUM,4.640588760375977
970,970,"11,45",280,150,45,0.5,0.3,LOW,4.73134708404541
925,939,"35,77,99",280,140,42,0.5,0.3,HIGH,4.781212329864502
970,970,"2,75,4,22",280,140,42,0.5,0.3,MEDIUM,5.217046499252319
970,970,"2,76",280,130,39,0.5,0.3,HIGH,4.979681968688965
925,939,"74,92,39",280,140,42,0.5,0.3,LOW,5.350691080093384
970,970,"82,75,53,61",280,130,39,0.5,0.3,MEDIUM,5.205080270767212
887,943,"52,28,8",280,130,39,0.5,0.3,LOW,5.167181015014648
970,970,"92,21",280,120,36,0.5,0.3,HIGH,5.446433782577515
970,970,"2,83",280,120,36,0.5,0.3,MEDIUM,5.079415321350098
970,970,"75,60,13",280,120,36,0.5,0.3,LOW,4.926823616027832
970,970,"2,99",280,110,33,0.5,0.3,HIGH,4.9846696853637695
925,939,"79,77,39,53",280,110,33,0.5,0.3,MEDIUM,4.940787076950073
970,970,"2,77,52,61",280,110,33,0.5,0.3,LOW,5.000625848770142
925,939,"2,39,12,53,22",280,100,30,0.5,0.3,HIGH,4.798166990280151
970,970,"75,82,85,53,92",280,100,30,0.5,0.3,MEDIUM,4.803155899047852
925,939,"35,11,77,92",280,100,30,0.5,0.3,LOW,4.964722156524658
970,970,"99,92",280,90,27,0.5,0.3,HIGH,5.120307683944702
970,970,"53,22,75,31",280,90,27,0.5,0.3,MEDIUM,5.2040815353393555
970,970,"82,79",280,90,27,0.5,0.3,LOW,5.318772554397583
970,970,"11,75,53,22",280,80,24,0.5,0.3,HIGH,5.258934736251831
970,970,"4,53,77,85",280,80,24,0.5,0.3,MEDIUM,5.455411911010742
970,970,"2,22,75",280,80,24,0.5,0.3,LOW,5.492311716079712
970,970,"2,28,13",280,70,21,0.5,0.3,HIGH,5.522231101989746
925,939,"2,75,46,85,90",280,70,21,0.5,0.3,MEDIUM,5.712720632553101
925,939,"4,90,12",280,70,21,0.5,0.3,LOW,5.680806398391724
970,970,"68,13,53",280,60,18,0.5,0.3,HIGH,5.531207799911499
925,939,"75,76,77,90",280,60,18,0.5,0.3,MEDIUM,5.551153659820557
970,970,"2,12,45",280,60,18,0.5,0.3,LOW,5.487324953079224
970,970,"12,13",280,50,15,0.5,0.3,HIGH,5.353679418563843
970,970,"4,75,82,53",280,50,15,0.5,0.3,MEDIUM,5.3187761306762695
925,939,"35,12,53,32",280,50,15,0.5,0.3,LOW,4.93380331993103
970,970,"2,19,22",280,40,12,0.5,0.3,HIGH,4.720374822616577
970,970,"2,11,22",280,40,12,0.5,0.3,MEDIUM,4.734338283538818
925,939,"12,39,48",280,40,12,0.5,0.3,LOW,5.003617525100708
970,970,"2,13",280,30,9,0.5,0.3,HIGH,4.942779779434204
925,939,"1,35,46",280,30,9,0.5,0.3,MEDIUM,4.790188789367676
970,970,"75,13,22,32",280,30,9,0.5,0.3,LOW,4.735334396362305
970,970,4,280,20,6,0.5,0.3,HIGH,4.695444345474243
925,939,"35,74,75,53",280,20,6,0.5,0.3,MEDIUM,4.663527488708496
970,970,"82,85,13,77",280,20,6,0.5,0.3,LOW,4.621639251708984
849,947,"72,78,82,84,22",280,10,3,0.5,0.3,HIGH,4.737330675125122
