profit,poids,Items selectionne,Nombre generation,Nombre population,Nombre meilleur solution selectionne,Probabilite crossover,Probabilite mutation,Type population initiale, Temps execution
1005,996,"1,15,17,52,28",350,70,21,0.5,0.3,LOW,8.769376993179321
1005,996,"74,45,15,48,79,85,59",350,70,21,0.5,0.3,HIGH,8.896038293838501
1005,996,"79,82,83,84,85,55,57,59",350,70,21,0.5,0.3,MEDIUM,8.985798120498657
1005,997,"1,59,83,52,57,91",350,60,18,0.5,0.3,HIGH,8.947900533676147
1005,997,"6,43,15,17,52,55",350,60,18,0.5,0.3,MEDIUM,8.964057922363281
1008,997,"1,71,43,45,15,22,28",350,60,18,0.5,0.3,LOW,9.04947304725647
1005,996,"71,43,45,15,82,85,88",350,50,15,0.5,0.3,HIGH,9.160176992416382
1011,996,"1,69,71,74,43,45,15,22,30",350,50,15,0.5,0.3,MEDIUM,9.17513632774353
1008,996,"71,15,52,22,55,91",350,50,15,0.5,0.3,LOW,9.17015027999878
1005,993,"1,74,79,85,22,30,32,43,55,57",350,40,12,0.5,0.3,MEDIUM,9.069419384002686
1011,997,"1,6,43,45,15,22,59,32",350,40,12,0.5,0.3,HIGH,9.290945768356323
1002,996,"74,79,49,52,85",350,40,12,0.5,0.3,LOW,9.497448444366455
1011,996,"1,43,45,15,22,30",350,30,9,0.5,0.3,HIGH,9.303282499313354
1008,996,"69,71,15,57,30,32",350,30,9,0.5,0.3,MEDIUM,9.740112781524658
1005,996,"2,74,15,84,22,57",350,30,9,0.5,0.3,LOW,9.35813593864441
1008,997,"1,74,83,84,52,85,57,92",350,20,6,0.5,0.3,HIGH,9.539650440216064
1008,997,"71,74,15,59,30,64",350,20,6,0.5,0.3,MEDIUM,9.50075364112854
1011,997,"1,73,45,15,52,22,57",350,20,6,0.5,0.3,LOW,9.441793441772461
1005,991,"1,71,79,15,83,85,43,45,52,57,59",350,10,3,0.5,0.3,HIGH,8.769545078277588
1005,996,"1,100,15,82,53,22,85",340,150,45,0.5,0.3,HIGH,7.1807942390441895
1008,997,"1,79,15,82,85,30,45,62",340,150,45,0.5,0.3,MEDIUM,7.1963794231414795
1005,996,"69,71,15,82,85,96,62",340,140,42,0.5,0.3,HIGH,7.344118356704712
1005,991,"1,3,45,15,85,55,30",350,10,3,0.5,0.3,MEDIUM,8.629680156707764
1008,997,"77,45,79,82,83,85,22",340,150,45,0.5,0.3,LOW,7.6253275871276855
1005,997,"73,74,79,52,57,59",350,10,3,0.5,0.3,LOW,8.67756175994873
1005,995,"43,83,85,55,59,30,32",340,140,42,0.5,0.3,MEDIUM,6.854438781738281
1008,997,"1,71,45,85,55,32",340,130,39,0.5,0.3,HIGH,6.67931604385376
1005,994,"71,15,22,32,43,52,55,59",340,140,42,0.5,0.3,LOW,6.891421556472778
1005,997,"1,59,83,52,57,91",340,130,39,0.5,0.3,MEDIUM,6.954495429992676
1008,997,"1,43,15,85,22,55,57,63,32",340,120,36,0.5,0.3,HIGH,6.971447467803955
1008,997,"1,3,43,45,15,85,59,32",340,130,39,0.5,0.3,LOW,7.441236734390259
1005,997,"71,73,74,43,83,55",340,120,36,0.5,0.3,MEDIUM,7.049274682998657
1005,994,"1,71,43,45,52,32,30,96",340,120,36,0.5,0.3,LOW,7.0363218784332275
1005,996,"68,74,83,22,96,45,52",340,110,33,0.5,0.3,MEDIUM,6.755031108856201
1002,995,"1,12,17,59",340,110,33,0.5,0.3,HIGH,6.922629117965698
1011,996,"74,45,15,84,85,55,59",340,110,33,0.5,0.3,LOW,6.6745383739471436
1002,996,"71,73,79,82,84,96",340,100,30,0.5,0.3,MEDIUM,6.645569086074829
1005,995,"1,71,74,17,52,22,32",340,100,30,0.5,0.3,HIGH,7.096399784088135
1008,995,"1,15,52,22,87,30",340,100,30,0.5,0.3,LOW,6.867456436157227
1005,997,"45,79,83,85,22,92,93",340,90,27,0.5,0.3,HIGH,6.746884107589722
1005,997,"74,15,88,30,96,32",340,90,27,0.5,0.3,MEDIUM,6.648106336593628
1008,997,"1,43,45,15,52,55,28",340,80,24,0.5,0.3,HIGH,6.517627716064453
1008,997,"1,100,74,52,57,30,32",340,90,27,0.5,0.3,LOW,7.0734686851501465
1005,997,"12,79,83,52,85,57,59",340,80,24,0.5,0.3,MEDIUM,7.065201044082642
1005,996,"1,10,43,15,57,32",340,80,24,0.5,0.3,LOW,7.1238508224487305
1008,997,"1,69,71,43,15,83,85,57,96",340,70,21,0.5,0.3,HIGH,6.707495212554932
1008,995,"1,68,74,45,15,52,55,57",340,70,21,0.5,0.3,LOW,6.93086576461792
1005,997,"6,10,45,15,52,22",340,70,21,0.5,0.3,MEDIUM,7.175245523452759
1005,996,"100,69,71,74,43,15,55,57",340,60,18,0.5,0.3,MEDIUM,7.431063413619995
1008,996,"1,9,43,45,15,82,85,30",340,60,18,0.5,0.3,HIGH,7.602735280990601
1011,996,"1,71,45,15,83,55,57",340,50,15,0.5,0.3,HIGH,6.946604251861572
1011,997,"1,74,45,15,85,84,79,59,96,32",340,60,18,0.5,0.3,LOW,7.551696300506592
1008,996,"1,71,15,79,82,52,84,55,32",340,50,15,0.5,0.3,MEDIUM,7.414388418197632
1005,996,"71,72,74,43,17,85",340,50,15,0.5,0.3,LOW,7.43632960319519
1011,997,"1,74,45,15,79,85,22,30,63,32",340,40,12,0.5,0.3,HIGH,7.586892366409302
1005,997,"1,100,74,43,15,82,85,28",340,40,12,0.5,0.3,MEDIUM,7.909032344818115
1005,995,"1,69,6,71,45,79,15,85,92",340,40,12,0.5,0.3,LOW,7.942845106124878
1005,997,"68,74,77,45,15,22,92",340,30,9,0.5,0.3,HIGH,8.008668422698975
1008,996,"1,74,45,15,85,22,23,30",340,30,9,0.5,0.3,LOW,8.010575771331787
1008,996,"79,15,52,55,30,63",340,30,9,0.5,0.3,MEDIUM,8.252090215682983
1008,997,"1,100,71,45,82,52,96",340,20,6,0.5,0.3,HIGH,8.202513694763184
1008,996,"1,77,15,84,85,55,57,32",340,20,6,0.5,0.3,MEDIUM,8.59251618385315
1005,995,"1,6,74,85,62,32",340,20,6,0.5,0.3,LOW,8.11379337310791
1008,997,"71,74,15,82,32,43,52,63",330,150,45,0.5,0.3,HIGH,6.876104116439819
1005,993,"69,71,15,79,59,96",340,10,3,0.5,0.3,HIGH,8.335203170776367
1008,994,"71,45,15,82,52,85,55,57,32",340,10,3,0.5,0.3,MEDIUM,8.377089738845825
1002,992,"71,45,15,82,62,22,85,57,30",340,10,3,0.5,0.3,LOW,8.299354076385498
1011,997,"1,59,74,43,45,15,82,83,85,30",330,150,45,0.5,0.3,MEDIUM,6.727144241333008
1005,997,"72,74,79,83,85,62",330,150,45,0.5,0.3,LOW,7.360406398773193
1005,996,"1,68,15,79,82,85,22,32,96,43",330,140,42,0.5,0.3,LOW,6.625541687011719
1011,996,"1,74,45,15,79,52,85,22,55,57,30",330,140,42,0.5,0.3,MEDIUM,6.874031066894531
1005,994,"77,79,15,85,32,43,52,59",330,140,42,0.5,0.3,HIGH,7.090452194213867
1008,996,"1,45,15,53",330,130,39,0.5,0.3,HIGH,7.087486505508423
1005,997,"100,68,12,45,15,79,85,57",330,130,39,0.5,0.3,MEDIUM,6.872054100036621
1005,996,"3,71,45,15,82,30,32",330,130,39,0.5,0.3,LOW,7.049543380737305
1008,997,"1,68,71,74,82,85",330,120,36,0.5,0.3,HIGH,6.788181781768799
1008,996,"1,43,84,55,96,32",330,120,36,0.5,0.3,MEDIUM,6.920702934265137
1008,995,"100,69,45,55,59",330,110,33,0.5,0.3,HIGH,6.8766655921936035
1005,994,"1,71,74,79,15,82,85,91,45,55",330,120,36,0.5,0.3,LOW,7.092797756195068
1008,996,"45,15,83,52,88,57,32",330,110,33,0.5,0.3,MEDIUM,6.942219495773315
1005,995,"43,45,15,52,24",330,110,33,0.5,0.3,LOW,6.7676801681518555
1008,994,"1,45,15,52,55,59,63",330,100,30,0.5,0.3,HIGH,6.533343315124512
1008,997,"1,77,45,15,55,89",330,100,30,0.5,0.3,MEDIUM,6.9642510414123535
1011,997,"1,71,45,15,79,83,52,55,57,32",330,100,30,0.5,0.3,LOW,6.611775159835815
1005,994,"74,43,45,79,15,84,52,62",330,90,27,0.5,0.3,MEDIUM,6.685907363891602
1008,997,"43,12,15,83,84,85,22",330,90,27,0.5,0.3,HIGH,6.8541693687438965
1005,996,"71,77,79,52,85,30",330,90,27,0.5,0.3,LOW,6.359344482421875
1005,994,"1,45,15,82,22,55,64",330,80,24,0.5,0.3,HIGH,7.152227163314819
1005,995,"1,3,100,45,15,30",330,80,24,0.5,0.3,MEDIUM,6.873933792114258
1005,991,"1,43,15,83,52,55,32",330,80,24,0.5,0.3,LOW,6.4190404415130615
1005,995,"1,43,15,22,57,59,30",330,70,21,0.5,0.3,HIGH,6.328707933425903
1011,997,"1,15,79,32,30,64",330,70,21,0.5,0.3,MEDIUM,6.460360050201416
1008,997,"69,52,85,22,57,30,96",330,70,21,0.5,0.3,LOW,6.904173135757446
1008,997,"45,15,83,84,22,92,32",330,60,18,0.5,0.3,HIGH,6.578577995300293
1005,997,"71,43,15,83,85,22,57,64",330,60,18,0.5,0.3,MEDIUM,6.500793218612671
1005,994,"1,74,14,15,82,85,32",330,60,18,0.5,0.3,LOW,6.51675271987915
1008,997,"74,43,45,15,84,57,30,96",330,50,15,0.5,0.3,HIGH,6.747194290161133
1008,997,"1,43,15,79,82,84,85,22,92",330,50,15,0.5,0.3,MEDIUM,7.182031869888306
1008,997,"74,45,79,15,85,22,55,93",330,50,15,0.5,0.3,LOW,6.7521374225616455
1002,995,"72,74,43,79,82,52,85,22,57",330,40,12,0.5,0.3,MEDIUM,6.534523248672485
1005,993,"1,69,71,45,79,84,32",330,40,12,0.5,0.3,HIGH,6.87250542640686
1005,997,"74,45,15,79,80,82,55",330,40,12,0.5,0.3,LOW,6.577138185501099
1008,997,"1,12,15,17,30",330,30,9,0.5,0.3,HIGH,6.442495822906494
1011,997,"1,69,71,74,45,15,79,22,55",330,30,9,0.5,0.3,MEDIUM,7.052863836288452
1005,995,"1,43,12,15,52,55,32",330,30,9,0.5,0.3,LOW,7.058848142623901
1005,996,"1,100,15,57,59,92,30",330,20,6,0.5,0.3,MEDIUM,6.957432746887207
1005,994,"1,3,15,57,59,30",330,20,6,0.5,0.3,HIGH,7.390402555465698
1005,997,"1,12,84,85,91",330,20,6,0.5,0.3,LOW,6.851154088973999
1011,997,"43,45,15,52,22,55,57,32",330,10,3,0.5,0.3,HIGH,6.970617294311523
1005,997,"3,73,15,85,30",330,10,3,0.5,0.3,MEDIUM,7.372579097747803
1008,995,"1,3,71,74,45,15,85,22",320,150,45,0.5,0.3,HIGH,6.091008901596069
1005,996,"45,15,17,30,64",320,150,45,0.5,0.3,MEDIUM,6.23231053352356
1011,997,"1,6,43,45,15,52,22,57,32",320,150,45,0.5,0.3,LOW,6.2650978565216064
1008,993,"74,43,45,79,15,82,85,22,57,59,32",330,10,3,0.5,0.3,LOW,7.174108982086182
1002,995,"69,74,12,46,15,85",320,140,42,0.5,0.3,HIGH,6.649071931838989
1011,996,"1,45,77,15,52,57,96",320,140,42,0.5,0.3,MEDIUM,6.18548846244812
1005,993,"1,6,74,45,77,52,85",320,140,42,0.5,0.3,LOW,6.367967128753662
1011,997,"1,6,43,45,15,83,82,85,22",320,130,39,0.5,0.3,HIGH,6.488646507263184
1008,997,"1,71,43,15,17,57,59",320,130,39,0.5,0.3,MEDIUM,6.665372133255005
1005,996,"1,7,74,15,85,89",320,130,39,0.5,0.3,LOW,6.838991165161133
1005,997,"45,79,83,85,23,92",320,120,36,0.5,0.3,LOW,6.368249893188477
1005,992,"1,12,15,83,85,22,30",320,120,36,0.5,0.3,HIGH,6.9896979331970215
1005,997,"1,6,10,79,15,85,55",320,120,36,0.5,0.3,MEDIUM,6.794268369674683
1005,997,"71,74,43,45,85,53,59,32",320,110,33,0.5,0.3,HIGH,6.461157321929932
1005,996,"74,43,15,17,55,91",320,110,33,0.5,0.3,MEDIUM,6.9009809494018555
1008,995,"71,43,77,45,15,83,57,30",320,100,30,0.5,0.3,HIGH,6.3780975341796875
1008,996,"1,74,45,15,82,85,57,32,63,96",320,110,33,0.5,0.3,LOW,6.738173007965088
1011,995,"1,74,45,79,15,83,52,85,22,57,32",320,100,30,0.5,0.3,MEDIUM,6.3581507205963135
1002,995,"100,15,82,85,55,57,92,96",320,100,30,0.5,0.3,LOW,6.461764335632324
1008,996,"71,45,15,52,85,57,28,32",320,90,27,0.5,0.3,HIGH,6.444763898849487
1005,993,"1,71,74,79,15,84,85,32,43,55,57",320,90,27,0.5,0.3,MEDIUM,6.025349140167236
1008,996,"43,45,15,83,52,85,55,62",320,90,27,0.5,0.3,LOW,6.24780011177063
1008,992,"1,43,45,15,52,22,55,57,32",320,80,24,0.5,0.3,MEDIUM,6.051326513290405
1005,993,"43,45,15,17,22,92,32",320,80,24,0.5,0.3,HIGH,6.232065916061401
1005,997,"45,52,86,22,96",320,80,24,0.5,0.3,LOW,6.14239239692688
1008,997,"71,45,15,83,59,62,32",320,70,21,0.5,0.3,MEDIUM,6.155357837677002
1005,997,"1,82,22,86,32",320,70,21,0.5,0.3,HIGH,6.511484384536743
1008,997,"45,15,82,83,85,57,92,30",320,70,21,0.5,0.3,LOW,5.900653600692749
1005,994,"43,45,59,30,32",320,60,18,0.5,0.3,HIGH,6.1793131828308105
1008,996,"1,45,52,85,55,89,32",320,60,18,0.5,0.3,LOW,5.991638422012329
1008,997,"1,9,15,22,30,32",320,50,15,0.5,0.3,HIGH,6.025463581085205
1008,996,"1,59,30",320,60,18,0.5,0.3,MEDIUM,6.197311162948608
1002,995,"1,3,100,6,15,85",320,50,15,0.5,0.3,MEDIUM,5.914742946624756
1002,990,"1,71,74,15,84,85,22,57,92",320,50,15,0.5,0.3,LOW,6.142102241516113
1002,994,"1,6,43,15,82,30,63",320,40,12,0.5,0.3,HIGH,5.911900520324707
1005,996,"1,74,79,84,83,87",320,40,12,0.5,0.3,MEDIUM,6.011229515075684
1005,997,"3,43,15,79,85,22,62",320,30,9,0.5,0.3,HIGH,6.041100025177002
1008,997,"45,15,48,52,22,32",320,40,12,0.5,0.3,LOW,6.434699535369873
1005,995,"69,43,15,85,89,32",320,30,9,0.5,0.3,LOW,6.365935325622559
1008,997,"71,85,22,32,100,45,52,55",320,30,9,0.5,0.3,MEDIUM,6.592313289642334
1008,994,"1,71,45,15,79,85,22,57,30,96",320,20,6,0.5,0.3,HIGH,6.338969707489014
1008,995,"45,15,82,52,84,57,92,32",320,20,6,0.5,0.3,MEDIUM,6.492423057556152
1005,990,"1,43,45,15,52,22,55,57,59",310,150,45,0.5,0.3,HIGH,5.520289897918701
1008,996,"1,71,74,43,45,22,85,62,32",320,20,6,0.5,0.3,LOW,6.746694803237915
1002,997,"3,69,82,22,32",310,150,45,0.5,0.3,MEDIUM,5.556184530258179
1005,997,"65,69,74,79,83,85",320,10,3,0.5,0.3,HIGH,6.632001638412476
1008,995,"1,3,74,15,55,32",320,10,3,0.5,0.3,MEDIUM,6.950507164001465
1008,997,"1,9,15,22,30,32",320,10,3,0.5,0.3,LOW,6.9913554191589355
1005,996,"69,71,74,45,46,82",310,150,45,0.5,0.3,LOW,5.762587547302246
1008,996,"10,45,15,79,22,63",310,140,42,0.5,0.3,HIGH,5.942108631134033
1008,997,"1,100,71,12,45,15,52",310,140,42,0.5,0.3,MEDIUM,5.783431529998779
1011,997,"1,69,43,45,15,82,85,30,32",310,130,39,0.5,0.3,HIGH,6.023829698562622
1005,997,"1,36,15,79,82,85,55",310,140,42,0.5,0.3,LOW,6.293109893798828
1005,997,"6,43,45,84,85,55,96",310,130,39,0.5,0.3,MEDIUM,5.808073282241821
1008,997,"1,100,71,43,45,15,82,85,22,57,32",310,130,39,0.5,0.3,LOW,6.145261287689209
1005,993,"1,100,45,15,85,57,93",310,120,36,0.5,0.3,HIGH,5.9457948207855225
1005,997,"3,79,15,30,63",310,120,36,0.5,0.3,MEDIUM,6.159224987030029
1005,995,"7,43,45,15,30",310,120,36,0.5,0.3,LOW,6.301830768585205
1005,996,"1,79,15,84,55,57,92,96",310,110,33,0.5,0.3,HIGH,6.049508094787598
1002,994,"1,15,17,22,23",310,110,33,0.5,0.3,LOW,5.890222787857056
1008,996,"71,43,45,77,15,52,30",310,110,33,0.5,0.3,MEDIUM,6.366344690322876
1005,991,"1,69,77,15,52,57",310,100,30,0.5,0.3,HIGH,6.413506746292114
1008,997,"1,100,15,79,82,83,55,32",310,100,30,0.5,0.3,MEDIUM,6.23398756980896
1005,994,"1,72,74,79,15,87",310,90,27,0.5,0.3,HIGH,5.9943907260894775
1011,997,"1,71,15,83,52,85,30,32",310,100,30,0.5,0.3,LOW,6.349371433258057
1008,997,"68,71,74,45,83,52,85,57",310,90,27,0.5,0.3,MEDIUM,6.204828500747681
1008,997,"1,45,15,79,83,85,22,57,28",310,90,27,0.5,0.3,LOW,6.021364450454712
1008,997,"1,6,43,45,15,55,59,32",310,80,24,0.5,0.3,HIGH,6.4007041454315186
1005,996,"43,85,22,55,89,59",310,80,24,0.5,0.3,MEDIUM,6.1343724727630615
1002,997,"65,74",310,80,24,0.5,0.3,LOW,6.455372095108032
1005,996,"1,100,52,55,57,59",310,70,21,0.5,0.3,HIGH,5.964165687561035
1005,997,"1,75,15,84,30",310,70,21,0.5,0.3,MEDIUM,6.271299839019775
1005,997,"45,15,79,82,51,52,22,57",310,60,18,0.5,0.3,HIGH,6.163294792175293
1005,992,"71,45,15,83,52,30,32",310,60,18,0.5,0.3,MEDIUM,5.772342205047607
1005,996,"7,71,74,15,82,22,32",310,70,21,0.5,0.3,LOW,6.386783599853516
1005,997,"1,100,74,15,82,64,32",310,60,18,0.5,0.3,LOW,5.694550514221191
1005,995,"1,74,43,77,52,22,55",310,50,15,0.5,0.3,HIGH,6.002866983413696
1005,996,"69,74,43,15,53,85,22",310,50,15,0.5,0.3,MEDIUM,5.893085718154907
1005,995,"6,43,77,45,15,82,52",310,50,15,0.5,0.3,LOW,6.118598937988281
1005,995,"34,45,79,15,52,85,59",310,40,12,0.5,0.3,HIGH,6.154749393463135
1008,993,"1,74,43,45,15,52,22,55",310,40,12,0.5,0.3,LOW,5.970202922821045
1005,997,"73,45,79,52,53,57",310,40,12,0.5,0.3,MEDIUM,6.09586763381958
1005,996,"43,45,22,93,96",310,30,9,0.5,0.3,HIGH,6.223525524139404
1008,995,"1,43,45,15,17,22,30",310,30,9,0.5,0.3,MEDIUM,5.756243467330933
1005,997,"74,79,82,83,85,22,92",310,30,9,0.5,0.3,LOW,5.751246929168701
1005,997,"69,71,45,82,85,57,59,92",310,20,6,0.5,0.3,HIGH,5.798006534576416
1008,997,"43,45,85,22,55,57,30,96",310,20,6,0.5,0.3,MEDIUM,5.844936847686768
1005,995,"74,15,84,85,55,92,32",310,20,6,0.5,0.3,LOW,6.09232234954834
1005,995,"1,71,74,15,80,22",310,10,3,0.5,0.3,HIGH,6.244912624359131
1002,992,"1,69,74,43,84,85,57",310,10,3,0.5,0.3,MEDIUM,6.145251750946045
1008,997,"74,43,45,46,15,84,55,57",310,10,3,0.5,0.3,LOW,6.028144359588623
1008,997,"100,43,45,15,82,52,85,55,57,32",300,150,45,0.5,0.3,HIGH,4.725583553314209
1005,994,"69,71,74,43,77,15,83,85",300,150,45,0.5,0.3,MEDIUM,5.2242491245269775
1008,997,"1,68,45,15,85,59,96",300,150,45,0.5,0.3,LOW,5.140416145324707
1002,993,"77,46,15,30,96",300,140,42,0.5,0.3,HIGH,5.181262493133545
1008,997,"1,45,15,84,32,62,96",300,140,42,0.5,0.3,MEDIUM,5.26603364944458
1005,997,"93,22,7,85",300,140,42,0.5,0.3,LOW,5.044555425643921
1005,995,"68,43,15,84,85,57,30,32",300,130,39,0.5,0.3,HIGH,5.376364231109619
1002,994,"69,74,85,22,96,43,55,57",300,130,39,0.5,0.3,MEDIUM,5.409372329711914
1008,997,"1,100,71,15,82,83,85,22,32",300,130,39,0.5,0.3,LOW,5.55797553062439
1008,995,"1,45,15,84,85,52,55,57,92",300,120,36,0.5,0.3,HIGH,5.515089988708496
1008,996,"1,73,45,15,17,52",300,120,36,0.5,0.3,MEDIUM,5.54401159286499
1005,994,"69,71,84,82,32,45",300,120,36,0.5,0.3,LOW,5.45923924446106
1005,994,"68,15,82,83,85,92,45,52,57",300,110,33,0.5,0.3,HIGH,5.744475603103638
1008,997,"71,45,79,85,22,55,57,30",300,110,33,0.5,0.3,MEDIUM,5.926248073577881
1005,995,"1,69,6,74,15,85,62",300,110,33,0.5,0.3,LOW,5.572584390640259
1008,996,"71,74,15,82,85,93,30,32",300,100,30,0.5,0.3,HIGH,5.79602313041687
1005,997,"1,71,15,85,24,57",300,100,30,0.5,0.3,MEDIUM,5.879801034927368
1005,997,"1,43,45,46,82,30",300,100,30,0.5,0.3,LOW,5.80699610710144
1008,995,"71,45,82,83,52,32,96",300,90,27,0.5,0.3,HIGH,5.699284076690674
1008,997,"1,68,74,43,45,15,85,89",300,90,27,0.5,0.3,MEDIUM,5.861849069595337
1005,994,"74,45,79,15,22,92,93,32",300,90,27,0.5,0.3,LOW,5.80191707611084
1005,997,"82,83,52,57,59,32,96",300,80,24,0.5,0.3,HIGH,6.2752087116241455
1005,996,"1,68,6,15,85,52,57,59",300,80,24,0.5,0.3,MEDIUM,5.786478757858276
1008,996,"1,57,45,79,15,52,59,92,30",300,80,24,0.5,0.3,LOW,5.781646728515625
1008,997,"15,79,82,84,52,59,30,32",300,70,21,0.5,0.3,HIGH,6.072913885116577
1005,994,"71,45,79,82,83,84,85,32",300,70,21,0.5,0.3,MEDIUM,6.149708271026611
1005,997,"68,45,79,83,22,57,30,32",300,70,21,0.5,0.3,LOW,5.963502883911133
1008,992,"43,45,15,52,59",300,60,18,0.5,0.3,HIGH,5.895822286605835
1005,995,"74,43,45,79,15,17,52,85,57,92",300,60,18,0.5,0.3,MEDIUM,5.824965715408325
1008,997,"1,45,80,63",300,60,18,0.5,0.3,LOW,5.812000513076782
1002,992,"74,15,17,55,57,59",300,50,15,0.5,0.3,HIGH,6.1113646030426025
1008,997,"1,100,69,79,15,59,30",300,50,15,0.5,0.3,MEDIUM,5.830114126205444
1011,995,"1,71,15,85,55,57,59",300,50,15,0.5,0.3,LOW,5.905911207199097
1008,997,"1,74,43,45,83,85,93,32",300,40,12,0.5,0.3,HIGH,5.818010091781616
1005,996,"1,12,84,85,55,32",300,40,12,0.5,0.3,MEDIUM,5.191681385040283
1008,997,"1,45,15,52,91,30,96",300,40,12,0.5,0.3,LOW,5.646463871002197
1008,996,"1,43,45,15,79,84,85,93,32",300,30,9,0.5,0.3,HIGH,5.446997404098511
1008,997,"1,68,79,82,85,43,45,52,59",300,30,9,0.5,0.3,MEDIUM,5.2970781326293945
1005,993,"1,100,71,45,15,55,57,96",300,20,6,0.5,0.3,HIGH,5.214256048202515
1008,997,"71,74,12,79,15,85,43,45,59",300,30,9,0.5,0.3,LOW,5.5503575801849365
1008,997,"1,43,45,46,15,52,55,32",300,20,6,0.5,0.3,MEDIUM,5.351727247238159
1005,997,"5,71,43,79,15,32",300,20,6,0.5,0.3,LOW,5.469372034072876
1008,996,"100,59,74,45,82,85,30",300,10,3,0.5,0.3,HIGH,5.5182414054870605
1008,996,"1,74,15,79,82,55,59,30,32",290,150,45,0.5,0.3,HIGH,4.235671520233154
1008,996,"45,15,52,88,30,32",300,10,3,0.5,0.3,MEDIUM,5.237990856170654
1008,996,"69,71,74,79,15,83,84,85,22",290,150,45,0.5,0.3,MEDIUM,4.38926100730896
1005,997,"17,22,59,32",300,10,3,0.5,0.3,LOW,5.431473255157471
1008,995,"1,100,74,15,17,85,22",290,150,45,0.5,0.3,LOW,4.305485248565674
1008,997,"43,79,15,85,22,56",290,140,42,0.5,0.3,HIGH,4.283543825149536
1002,994,"98,77,15,79,52,85,96",290,140,42,0.5,0.3,MEDIUM,4.684431791305542
1011,997,"1,69,71,74,45,82,52,85,32",290,130,39,0.5,0.3,HIGH,4.647579669952393
1008,997,"10,45,79,22,85,30",290,140,42,0.5,0.3,LOW,4.7005157470703125
1005,997,"1,71,74,13,45",290,130,39,0.5,0.3,MEDIUM,4.616739273071289
1002,994,"74,43,45,46,82,52,32",290,130,39,0.5,0.3,LOW,4.688934087753296
1005,996,"71,45,46,15,82,85,84,96",290,120,36,0.5,0.3,HIGH,4.618309259414673
1005,996,"100,45,84,63",290,120,36,0.5,0.3,MEDIUM,4.497632265090942
1005,996,"6,71,74,45,15,79,82,52,57,96",290,120,36,0.5,0.3,LOW,4.83903694152832
1008,995,"1,68,43,77,45,15,79,85,30",290,110,33,0.5,0.3,MEDIUM,4.836984634399414
1005,997,"1,3,52,84,57",290,110,33,0.5,0.3,LOW,4.752211332321167
1005,992,"1,71,77,45,15,82,84,85",290,110,33,0.5,0.3,HIGH,4.975693225860596
1005,997,"1,10,74,45,79,17",290,100,30,0.5,0.3,HIGH,4.576223611831665
1005,996,"1,62,15,40",290,100,30,0.5,0.3,MEDIUM,5.237340211868286
1008,997,"71,83,84,85,55,96",290,100,30,0.5,0.3,LOW,4.5780065059661865
1008,995,"1,71,15,83,52,85,22,96,32",290,90,27,0.5,0.3,HIGH,5.3318281173706055
